State,CONVERTTO,NUMBER,REPEAT,PAIR_MAP,VALUE,MINUS,MULT_ASSIGN,LBRACKET,LEN,FALSE,GEQ,TRUE,DIV,EQ,DOT,GET,OUTPUT,RSHIFT,RPAREN,OR,RBRACKET,KEY,QUOTE,AND,NUMBER_TYPE,DECIMAL,GT,PLUS,SORT,SEMICOLON,LSHIFT,LT,NONE,MULT,COMMA,IDENTIFIER,NOT,FOR,MINUS_ASSIGN,PLUS_ASSIGN,ASSIGN,OTHERWISE,SHOW,BINARY_TYPE,BITWISE_AND,TEXT_TYPE,TOTEXT,CHOOSE_WHAT,METHOD,BITWISE_NOT,LEQ,LPAREN,BITWISE_OR,TEXT,RCURLY,END,ε,IF,MOD,UNTIL,PICK,COLON,LCURLY,EXPONENT,BITWISE_XOR,START,SEMI,DECIMAL_TYPE,NEQ,LIST_OF,$,INPUT_STMT,PARAM_LIST,LIST_DECL,COLLECTION_METHOD,BIT_BASE,BITOR_EXPR,CHOOSE_WHAT_STMT_KLEENE,MULTI_OP,COLLECTION_STMT,REPEAT_LOOP,PROGRAM,TERM,DATA_TYPE,PICK_CASE,LOGICNOT_EXPR,RETURN_STMT,PAIR_MAP_DECL,PAIR_MAP_VAL,CHOOSE_WHAT_STMT,LOGICAND_EXPR,EXPRESSION,ARG_LIST,STMT,BLOCK_STMT_KLEENE,BASE,BITAND_EXPR,OUTPUT_STMT,COLLECTION_ASSIGN,SHIFT_OP,SIMPLE_STMT,RELATIONAL_OP,BITNOT_EXPR,BIT_EXPR,REPEAT_UNTIL,RELATIONAL_EXPR,LIST_DECL_GROUP,CONDITIONAL_EXPR,PROGRAM_KLEENE,FUNC_DECL,IO_STATEMENT,CONDITIONAL_STMT_GROUP,FOR_LOOP,PAIR_MAP_VALUE,ADD_OP,PAIR,CONV_EXPR,FUNC_CALL_OPT,LIST_VALUE,COLLECTION_EXPR,ASSIGN_OP,PARAM_LIST_GROUP,DECL_STMT,PAIR_MAP_KEY,FACTOR,BITSHIFT_EXPR,EXP_OP,ARG_LIST_GROUP,COMPOUND_STMT,BLOCK_STMT,FUNC_DECL_OPT,PAIR_MAP_VAL_GROUP,BINARY,LOOP_STMT,CONDITIONAL_STMT,ASSIGNMENT_STMT,LOGICOR_EXPR,FUNC_CALL,S',CONST,BITXOR_EXPR
251,,,,,,r16,,,,,,,s131,,,,,,,,,,,,r16,,,r16,,,,,,s133,,,,,,,,,,,,,,,,,,,,,,,,,s134,,,,,,,,,,,,,,,,,,,,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,,,,,,r111,,,,,,,,,,,,,,,,,,,r111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r111,,,,,r111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,,,,,,r20,,,,,,,,,,,,,,,,,,,r20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,,,,,,s138,,,,,,,,,,,,,,,s367,,,,,,,s136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269,,,,,,,,,,,,,,,,,,,,,,,,,,
255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,,,,,,,,s369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,,,,,,r109,,,,,,,,,,,,,,,,,,,r109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r109,,,,,r109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,,s153,,,,,,,s154,s156,,s157,,,,,,,,,,,s145,,,s146,,,s148,,,,s158,,,s150,,,,,,,,,,,,,,,,s162,,,,,,,,,,,,,,,,,,,,,,,155,,,,,,,,,,,,,,,,,,,,,149,,,,,,,,,,,,,,,,,,151,,,159,,152,160,,,,,370,,,,,,,,163,,,,,,,164,
259,,,,,,,,,,,,,,,,,,,,,,,s371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,,,,,,r21,,,,,,,,,,,,,,,,,,,r21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r21,,,,,r21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,,s153,,,,,,,s154,s156,,s157,,,,,,,,,,,s145,,,s146,,,s148,,,,s158,,,s150,,,,,,,,,,,,,,,,s162,,,,,,,,,,,,,,,,,,,,,,,155,,,,,,,,372,,,,,,,,,,,,,149,,,,,,,,,,,,,,,,,,151,,,159,,152,160,,,,,161,,,,,,,,163,,,,,,,164,
262,,,,,,,,,,,,,,,,,,,s373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,,s153,,,,,,,s154,s156,,s157,,,,,,,,,,,s145,,,s146,,,s148,,,,s158,,,s150,,,,,,,,,,,,,,,,s162,,,,,,,,,,,,,,,,,,,,,,,155,,,,,,,,,,,,,,,,,,,,,149,,,,,,,,,,,,,,,,,,151,,,159,,152,160,,,,,374,,,,,,,,163,,,,,,,164,
264,,s174,,,,,,,s175,s177,,s178,,,,,,,,,,,s166,,,s167,,,s169,,,,s179,,,s171,,,,,,,,,,,,,,,,s183,,,,,,,,,,,,,,,,,,,,,,,176,,,,,,,,165,,,,,,,,,375,,,,170,,,,,,,,,,,,,,,,,,172,,,180,,173,181,,,,,182,,,,,,,,184,,,,,,,185,
265,s376,,,,s377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,,,,,,s138,,,,,,,,,,,,,s379,,,,,,,,,s136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261,,,,,,,,,,,,,,,,,,,,,,,,,,
267,,s174,,,,,,,s175,s177,,s178,,,,,,,,,,,s166,,,s167,,,s169,,,,s179,,,s171,,,,,,,,,,,,,,,,s183,,,,,,,,,,,,,,,,,,,,,,,176,,,,,,,,,,,,,,,,,,,,,170,,,,,,,,,,,,,,,,,,172,,,180,,173,181,,,,,380,,,,,,,,184,,,,,,,185,
268,,,,,,,,,,,,,,,,,,,,,,,s381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,,s174,,,,,,,s175,s177,,s178,,,,,,,,,,,s166,,,s167,,,s169,,,,s179,,,s171,,,,,,,,,,,,,,,,s183,,,,,,,,,,,,,,,,,,,,,,,176,,,,,,,,382,,,,,,,,,,,,,170,,,,,,,,,,,,,,,,,,172,,,180,,173,181,,,,,182,,,,,,,,184,,,,,,,185,
270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,,,,,,,,,,,,,,,,,,,s383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
